BROAD_ANCESTRAL_CATEGORY,YEAR,total_country,Prop,Trait
African American or Afro-Caribbean,2021,10677,0.00289467622262767,Cancer
African unspecified,2007,0,0,Cancer
African unspecified,2008,0,0,Cancer
African unspecified,2009,53,0.000103628969185046,Cancer
African unspecified,2010,0,0,Cancer
African unspecified,2011,311,0.000484643350802311,Cancer
African unspecified,2012,0,0,Cancer
African unspecified,2013,180.75,0.000210668264210055,Cancer
African unspecified,2014,0,0,Cancer
African unspecified,2015,1975.6,0.000896320621090847,Cancer
African unspecified,2016,541.25,0.000296854955434736,Cancer
African unspecified,2017,4149,0.00142669981534399,Cancer
African unspecified,2018,0,0,Cancer
African unspecified,2019,3910,0.00102791971920703,Cancer
African unspecified,2020,6550,0.00142144991797908,Cancer
African unspecified,2021,34105,0.00924631755855732,Cancer
Asian unspecified,2007,0,0,Cancer
Asian unspecified,2008,0,0,Cancer
Asian unspecified,2009,29,5.6702643516346e-05,Cancer
Asian unspecified,2010,0,0,Cancer
Asian unspecified,2011,189,0.000294526023477932,Cancer
Asian unspecified,2012,0,0,Cancer
Asian unspecified,2013,2607.5,0.00303910096225571,Cancer
Asian unspecified,2014,0,0,Cancer
Asian unspecified,2015,4529.6,0.00205505865827754,Cancer
Asian unspecified,2016,333.916666666667,0.000183140539865587,Cancer
Asian unspecified,2017,0,0,Cancer
Asian unspecified,2018,50,1.01157914180458e-05,Cancer
Asian unspecified,2019,203,5.33676989767335e-05,Cancer
Asian unspecified,2020,122,2.6475861067702e-05,Cancer
Asian unspecified,2021,10863,0.00294510328804012,Cancer
East Asian,2007,9054,0.0532362764005833,Cancer
East Asian,2008,7579,0.024326987581328,Cancer
East Asian,2009,26677,0.0521605662443297,Cancer
East Asian,2010,109850,0.215036713824012,Cancer
East Asian,2011,112401,0.175158833676947,Cancer
East Asian,2012,233100,0.279697624190065,Cancer
East Asian,2013,75594.5,0.088107120878711,Cancer
East Asian,2014,195673,0.195389880063788,Cancer
East Asian,2015,104008,0.0471879505762385,Cancer
East Asian,2016,157421,0.0863394068166125,Cancer
East Asian,2017,59575,0.0204858138103442,Cancer
East Asian,2018,270765,0.0547800452661434,Cancer
East Asian,2019,667480,0.175477200556601,Cancer
East Asian,2020,70472,0.015293499025927,Cancer
East Asian,2021,234803.26875,0.0636582784532995,Cancer
European,2007,156670,0.921198080812832,Cancer
European,2008,298500.5,0.958123493405489,Cancer
European,2009,461301,0.901965039887377,Cancer
European,2010,400300,0.783606704995468,Cancer
European,2011,470907.166666667,0.733832884791497,Cancer
European,2012,570677,0.684757619390449,Cancer
European,2013,750219,0.8743974246606,Cancer
European,2014,764701,0.763594551494884,Cancer
European,2015,2080839.6,0.944067342914775,Cancer
European,2016,1595963.75,0.87532516929645,Cancer
European,2017,2797774,0.962059206838806,Cancer
European,2018,4628729,0.936465141893195,Cancer
European,2019,3121203,0.820548877582648,Cancer
European,2020,4525439,0.982089297002954,Cancer
European,2021,3389192.15486179,0.918854916605286,Cancer
Greater Middle Eastern (Middle Eastern,2007,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2008,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2009,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2010,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2011,10193.1666666667,0.0158844065872018,Cancer
Greater Middle Eastern (Middle Eastern,2012,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2013,329.5,0.000384039795613904,Cancer
Greater Middle Eastern (Middle Eastern,2014,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2015,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2016,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2017,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2018,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2019,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2020,0,0,Cancer
Greater Middle Eastern (Middle Eastern,2021,0,0,Cancer
Hispanic or Latin American,2007,840,0.00493908462298321,Cancer
Hispanic or Latin American,2008,6,1.92587314273609e-05,Cancer
Hispanic or Latin American,2009,7757,0.0151669795088378,Cancer
Hispanic or Latin American,2010,0,0,Cancer
Hispanic or Latin American,2011,0,0,Cancer
Hispanic or Latin American,2012,4033.5,0.0048398128149748,Cancer
Hispanic or Latin American,2013,4526.5,0.00527573940772788,Cancer
Hispanic or Latin American,2014,15023,0.0150012631696672,Cancer
Hispanic or Latin American,2015,4703.6,0.00213400165689558,Cancer
Hispanic or Latin American,2016,7434.25,0.00407740222159941,Cancer
Hispanic or Latin American,2017,6313,0.00217082572529925,Cancer
Hispanic or Latin American,2018,20112,0.00406897593999474,Cancer
Hispanic or Latin American,2019,8354,0.00219622540518045,Cancer
Hispanic or Latin American,2020,46,9.98270171405159e-06,Cancer
Hispanic or Latin American,2021,8034,0.00217812388991202,Cancer
Native American,2007,0,0,Cancer
Native American,2008,0,0,Cancer
Native American,2009,29,5.6702643516346e-05,Cancer
Native American,2010,0,0,Cancer
Native American,2011,0,0,Cancer
Native American,2012,0,0,Cancer
Native American,2013,25,2.91380725048486e-05,Cancer
Native American,2014,0,0,Cancer
Native American,2015,0,0,Cancer
Native American,2016,0,0,Cancer
Native American,2017,96,3.30111309407141e-05,Cancer
Native American,2018,0,0,Cancer
Native American,2019,0,0,Cancer
Native American,2020,0,0,Cancer
Native American,2021,0,0,Cancer
North African or Persian),2007,0,0,Cancer
North African or Persian),2008,0,0,Cancer
North African or Persian),2009,0,0,Cancer
North African or Persian),2010,0,0,Cancer
North African or Persian),2011,10193.1666666667,0.0158844065872018,Cancer
North African or Persian),2012,0,0,Cancer
North African or Persian),2013,329.5,0.000384039795613904,Cancer
North African or Persian),2014,0,0,Cancer
North African or Persian),2015,0,0,Cancer
North African or Persian),2016,0,0,Cancer
North African or Persian),2017,0,0,Cancer
North African or Persian),2018,0,0,Cancer
North African or Persian),2019,0,0,Cancer
North African or Persian),2020,0,0,Cancer
North African or Persian),2021,0,0,Cancer
Oceanian,2007,0,0,Cancer
Oceanian,2008,0,0,Cancer
Oceanian,2009,7728,0.0151102768653214,Cancer
Oceanian,2010,0,0,Cancer
Oceanian,2011,0,0,Cancer
Oceanian,2012,0,0,Cancer
Oceanian,2013,0,0,Cancer
Oceanian,2014,0,0,Cancer
Oceanian,2015,0,0,Cancer
Oceanian,2016,0,0,Cancer
Oceanian,2017,0,0,Cancer
Oceanian,2018,0,0,Cancer
Oceanian,2019,0,0,Cancer
Oceanian,2020,0,0,Cancer
Oceanian,2021,648,0.000175681389178864,Cancer
Other,2007,1337,0.00786137635824827,Cancer
Other,2008,5459.5,0.0175238407046128,Cancer
Other,2009,109,0.00021312372907868,Cancer
Other,2010,614,0.00120193484103727,Cancer
Other,2011,21527.5,0.0335471374096358,Cancer
Other,2012,422.5,0.00050695944324454,Cancer
Other,2013,0,0,Cancer
Other,2014,6530,0.00652055172055691,Cancer
Other,2015,796.6,0.000361413751144447,Cancer
Other,2016,47.1666666666667,2.58691154389623e-05,Cancer
Other,2017,56,1.92564930487499e-05,Cancer
Other,2018,0,0,Cancer
Other,2019,58,1.52479139933524e-05,Cancer
Other,2020,0,0,Cancer
Other,2021,0,0,Cancer
South Asian,2007,0,0,Cancer
South Asian,2008,0,0,Cancer
South Asian,2009,0,0,Cancer
South Asian,2010,0,0,Cancer
South Asian,2011,0,0,Cancer
South Asian,2012,531,0.000637149028077754,Cancer
South Asian,2013,0,0,Cancer
South Asian,2014,0,0,Cancer
South Asian,2015,0,0,Cancer
South Asian,2016,0,0,Cancer
South Asian,2017,0,0,Cancer
South Asian,2018,0,0,Cancer
South Asian,2019,0,0,Cancer
South Asian,2020,0,0,Cancer
South Asian,2021,0,0,Cancer
South East Asian,2007,0,0,Cancer
South East Asian,2008,0,0,Cancer
South East Asian,2009,0,0,Cancer
South East Asian,2010,0,0,Cancer
South East Asian,2011,0,0,Cancer
South East Asian,2012,0,0,Cancer
South East Asian,2013,0,0,Cancer
South East Asian,2014,0,0,Cancer
South East Asian,2015,0,0,Cancer
South East Asian,2016,0,0,Cancer
South East Asian,2017,0,0,Cancer
South East Asian,2018,383,7.74869622622309e-05,Cancer
South East Asian,2019,0,0,Cancer
South East Asian,2020,0,0,Cancer
South East Asian,2021,173,4.69025930986781e-05,Cancer
Sub-Saharan African,2007,0,0,Cancer
Sub-Saharan African,2008,0,0,Cancer
Sub-Saharan African,2009,0,0,Cancer
Sub-Saharan African,2010,0,0,Cancer
Sub-Saharan African,2011,1705,0.00265696756629563,Cancer
Sub-Saharan African,2012,0,0,Cancer
Sub-Saharan African,2013,932,0.00108626734298075,Cancer
Sub-Saharan African,2014,5231.5,0.00522393052466975,Cancer
Sub-Saharan African,2015,0,0,Cancer
Sub-Saharan African,2016,2724,0.0014940099743265,Cancer
Sub-Saharan African,2017,932,0.000320483062882766,Cancer
Sub-Saharan African,2018,1040,0.000210408461495353,Cancer
Sub-Saharan African,2019,0,0,Cancer
Sub-Saharan African,2020,0,0,Cancer
Sub-Saharan African,2021,0,0,Cancer
African American or Afro-Caribbean,2007,0,0,CVD
African American or Afro-Caribbean,2008,0,0,CVD
African American or Afro-Caribbean,2009,6093,0.0197280233122875,CVD
African American or Afro-Caribbean,2010,2895,0.00910950283196979,CVD
African American or Afro-Caribbean,2011,63159,0.0690008160928707,CVD
African American or Afro-Caribbean,2012,3962.16666666667,0.00866807117641182,CVD
African American or Afro-Caribbean,2013,5532.16666666667,0.0107432602572841,CVD
African American or Afro-Caribbean,2014,2128.5,0.00820537927471926,CVD
African American or Afro-Caribbean,2015,54919,0.0236185051691149,CVD
African American or Afro-Caribbean,2016,55384,0.0107349747858733,CVD
African American or Afro-Caribbean,2017,40160.5277777778,0.0142842811226877,CVD
African American or Afro-Caribbean,2018,152050.6,0.00846520696750871,CVD
African American or Afro-Caribbean,2019,94244,0.0115923988383492,CVD
African American or Afro-Caribbean,2020,56092,0.0137534866751145,CVD
African American or Afro-Caribbean,2021,181359.933333333,0.0193343694089228,CVD
African unspecified,2007,0,0,CVD
African unspecified,2008,0,0,CVD
African unspecified,2009,980,0.00317306135664562,CVD
African unspecified,2010,10271.5,0.0323206419131529,CVD
African unspecified,2011,0,0,CVD
African unspecified,2012,0,0,CVD
African unspecified,2013,106.5,0.000206819007152248,CVD
African unspecified,2014,315,0.00121432674255888,CVD
African unspecified,2015,15473.5,0.00665454468825543,CVD
African unspecified,2016,41064.3333333333,0.00795942118539702,CVD
African unspecified,2017,58141,0.0206795685890794,CVD
African unspecified,2018,22718.3333333333,0.0012648118035938,CVD
African unspecified,2019,51433,0.00632647011430771,CVD
African unspecified,2020,20301.5,0.00497782945401904,CVD
African unspecified,2021,8192.25,0.000873357113002072,CVD
Asian unspecified,2007,0,0,CVD
Asian unspecified,2008,0,0,CVD
Asian unspecified,2009,0,0,CVD
Asian unspecified,2010,0,0,CVD
Asian unspecified,2011,31,3.3867307887696e-05,CVD
Asian unspecified,2012,518.166666666667,0.00113359833792388,CVD
Asian unspecified,2013,0,0,CVD
Asian unspecified,2014,90,0.000346950497873964,CVD
Asian unspecified,2015,319.7,0.000137490415021505,CVD
Asian unspecified,2016,0,0,CVD
Asian unspecified,2017,5423.02777777778,0.00192886044084275,CVD
Asian unspecified,2018,51421.9333333333,0.00286284505510732,CVD
Asian unspecified,2019,0,0,CVD
Asian unspecified,2020,0,0,CVD
Asian unspecified,2021,0,0,CVD
East Asian,2007,3580,0.0324946447373198,CVD
East Asian,2008,1171,0.0257804588085069,CVD
East Asian,2009,12002,0.0388602881657763,CVD
East Asian,2010,51405,0.161752674638137,CVD
East Asian,2011,30573,0.0334008130338881,CVD
East Asian,2012,67649,0.147996385903273,CVD
East Asian,2013,33707,0.0654577302730593,CVD
East Asian,2014,143260,0.552268092504713,CVD
East Asian,2015,126174.2,0.0542625684172862,CVD
East Asian,2016,32175,0.00623641870820945,CVD
East Asian,2017,280112.75,0.099630395526404,CVD
East Asian,2018,606521.1,0.0337672238166837,CVD
East Asian,2019,63023,0.00775208768716612,CVD
East Asian,2020,143544.5,0.0351964160314478,CVD
East Asian,2021,376595.910416667,0.0401480322365512,CVD
European,2007,106592,0.96750535526268,CVD
