Country,position,Trait,DATE,Prop
Australia,All,Mental disorders,2006,0.0909090909090909
Australia,All,Substance use,2006,0.0909090909090909
Australia,First,All traits,2006,0
Australia,First,Digestive diseases,2006,0
Australia,First,Neurological disorders,2006,0
Australia,First,Substance use,2006,0
Australia,Senior,All traits,2006,0
Australia,Senior,Digestive diseases,2006,0
Australia,Senior,Neurological disorders,2006,0
Australia,Senior,Substance use,2006,0
Belgium,All,All traits,2006,0
Belgium,First,All traits,2006,0
Belgium,First,Neurological disorders,2006,0
Belgium,Senior,Neurological disorders,2006,0
Canada,All,All traits,2006,0.0652173913043478
Canada,All,Digestive diseases,2006,0.195652173913043
Canada,First,All traits,2006,0
Canada,First,Digestive diseases,2006,0
Canada,First,Neurological disorders,2006,0
Canada,Senior,All traits,2006,0
Canada,Senior,Digestive diseases,2006,0
Canada,Senior,Neurological disorders,2006,0
Chile,First,Neurological disorders,2006,0
Chile,Senior,Neurological disorders,2006,0
China,All,All traits,2006,0.00833333333333333
China,All,Neurological disorders,2006,0.025
China,First,All traits,2006,0.166666666666667
China,First,Digestive diseases,2006,0
China,First,Neurological disorders,2006,0.5
China,First,Substance use,2006,0
China,Senior,All traits,2006,0
China,Senior,Digestive diseases,2006,0
China,Senior,Neurological disorders,2006,0
China,Senior,Substance use,2006,0
Denmark,All,All traits,2006,0
Denmark,First,All traits,2006,0
Denmark,First,Digestive diseases,2006,0
Denmark,First,Neurological disorders,2006,0
Denmark,First,Substance use,2006,0
Denmark,Senior,All traits,2006,0
Denmark,Senior,Digestive diseases,2006,0
Denmark,Senior,Neurological disorders,2006,0
Finland,All,All traits,2006,0
Finland,First,All traits,2006,0
Finland,First,Digestive diseases,2006,0
Finland,First,Neurological disorders,2006,0
Finland,First,Substance use,2006,0
Finland,Senior,All traits,2006,0
Finland,Senior,Digestive diseases,2006,0
Finland,Senior,Neurological disorders,2006,0
Finland,Senior,Substance use,2006,0
France,All,All traits,2006,0
France,First,All traits,2006,0
France,First,Digestive diseases,2006,0
France,First,Neurological disorders,2006,0
France,Senior,All traits,2006,0
France,Senior,Digestive diseases,2006,0
France,Senior,Neurological disorders,2006,0
Germany,All,All traits,2006,0
Germany,First,All traits,2006,0
Germany,First,Digestive diseases,2006,0
Germany,First,Neurological disorders,2006,0
Germany,First,Substance use,2006,0
Germany,Senior,All traits,2006,0
Germany,Senior,Digestive diseases,2006,0
Germany,Senior,Neurological disorders,2006,0
Germany,Senior,Substance use,2006,0
Iceland,All,All traits,2006,0
Iceland,First,All traits,2006,0
Iceland,First,Digestive diseases,2006,0
Iceland,First,Neurological disorders,2006,0
Iceland,First,Substance use,2006,0
Iceland,Senior,All traits,2006,0
Iceland,Senior,Digestive diseases,2006,0
Iceland,Senior,Substance use,2006,0
India,First,Digestive diseases,2006,0
India,Senior,All traits,2006,0
India,Senior,Digestive diseases,2006,0
Ireland,First,All traits,2006,0
Ireland,Senior,Digestive diseases,2006,0
Israel,First,Neurological disorders,2006,0
Israel,Senior,All traits,2006,0
Israel,Senior,Neurological disorders,2006,0
Italy,All,All traits,2006,0
Italy,First,All traits,2006,0
Italy,First,Digestive diseases,2006,0
Italy,First,Neurological disorders,2006,0
Italy,First,Substance use,2006,0
Italy,Senior,All traits,2006,0
Italy,Senior,Digestive diseases,2006,0
Italy,Senior,Neurological disorders,2006,0
Italy,Senior,Substance use,2006,0
Japan,All,All traits,2006,0
Japan,First,All traits,2006,0
Japan,First,Digestive diseases,2006,0
Japan,First,Neurological disorders,2006,0
Japan,First,Substance use,2006,0
Japan,Senior,All traits,2006,0
Japan,Senior,Digestive diseases,2006,0
Japan,Senior,Neurological disorders,2006,0
Japan,Senior,Substance use,2006,0
Mexico,First,Substance use,2006,0
Mexico,Senior,Substance use,2006,0
Netherlands,All,All traits,2006,0
Netherlands,First,All traits,2006,0
Netherlands,First,Digestive diseases,2006,0
Netherlands,First,Neurological disorders,2006,0
Netherlands,First,Substance use,2006,0
Netherlands,Senior,All traits,2006,0
Netherlands,Senior,Digestive diseases,2006,0
Netherlands,Senior,Neurological disorders,2006,0
Netherlands,Senior,Substance use,2006,0
Norway,All,All traits,2006,0
Norway,First,All traits,2006,0
Norway,First,Digestive diseases,2006,0
Norway,First,Neurological disorders,2006,0
Norway,Senior,All traits,2006,0
Norway,Senior,Digestive diseases,2006,0
Norway,Senior,Neurological disorders,2006,0
Poland,First,Neurological disorders,2006,0
Poland,Senior,Neurological disorders,2006,0
Portugal,First,Neurological disorders,2006,0
Portugal,Senior,Neurological disorders,2006,0
Saudi Arabia,First,Digestive diseases,2006,0
Singapore,All,All traits,2006,0
Singapore,First,All traits,2006,0
Singapore,First,Digestive diseases,2006,0
Singapore,First,Neurological disorders,2006,0
Singapore,Senior,All traits,2006,0
Singapore,Senior,Digestive diseases,2006,0
Singapore,Senior,Neurological disorders,2006,0
South Korea,All,All traits,2006,0
South Korea,First,All traits,2006,0
South Korea,First,Digestive diseases,2006,0
South Korea,First,Neurological disorders,2006,0
South Korea,First,Substance use,2006,0
South Korea,Senior,All traits,2006,0
South Korea,Senior,Digestive diseases,2006,0
South Korea,Senior,Neurological disorders,2006,0
South Korea,Senior,Substance use,2006,0
Spain,All,All traits,2006,0.00833333333333333
Spain,All,Neurological disorders,2006,0.025
Spain,First,All traits,2006,0
Spain,First,Digestive diseases,2006,0
Spain,First,Neurological disorders,2006,0
Spain,Senior,All traits,2006,0
Spain,Senior,Digestive diseases,2006,0
Spain,Senior,Neurological disorders,2006,0
Sweden,All,All traits,2006,0
Sweden,First,All traits,2006,0
Sweden,First,Digestive diseases,2006,0
Sweden,First,Neurological disorders,2006,0
Sweden,Senior,All traits,2006,0
Sweden,Senior,Digestive diseases,2006,0
Switzerland,All,All traits,2006,0
Switzerland,Senior,Neurological disorders,2006,0
Turkey,Senior,Neurological disorders,2006,0
United Arab Emirates,Senior,Substance use,2006,0
United Kingdom,All,All traits,2006,0
United Kingdom,First,All traits,2006,0
United Kingdom,First,Digestive diseases,2006,0
United Kingdom,First,Neurological disorders,2006,0
United Kingdom,First,Substance use,2006,0
United Kingdom,Senior,All traits,2006,0
United Kingdom,Senior,Digestive diseases,2006,0
United Kingdom,Senior,Neurological disorders,2006,0
United Kingdom,Senior,Substance use,2006,0
United States,All,All traits,2006,0.887812911725955
United States,All,Digestive diseases,2006,0.804347826086957
United States,All,Mental disorders,2006,0.909090909090909
United States,All,Neurological disorders,2006,0.95
United States,All,Substance use,2006,0.909090909090909
United States,First,All traits,2006,0.833333333333333
United States,First,Digestive diseases,2006,1
United States,First,Mental disorders,2006,1
United States,First,Neurological disorders,2006,0.5
United States,First,Substance use,2006,1
United States,Senior,All traits,2006,1
United States,Senior,Digestive diseases,2006,1
United States,Senior,Mental disorders,2006,1
United States,Senior,Neurological disorders,2006,1
United States,Senior,Substance use,2006,1
Australia,All,All traits,2007,0.0053475935828877
Australia,All,Cancer,2007,0.00980392156862745
Australia,All,Mental disorders,2007,0.0176470588235294
Australia,First,All traits,2007,0
Australia,First,Cancer,2007,0
Australia,First,Chronic respiratory disease,2007,0
Australia,First,CVD,2007,0
Australia,First,Diabetes and CKD,2007,0
Australia,First,Digestive diseases,2007,0
Australia,First,Musculoskeletal disorders,2007,0
Australia,First,Neurological disorders,2007,0
Australia,First,Skin disease,2007,0
Australia,First,Substance use,2007,0
Australia,Senior,All traits,2007,0
Australia,Senior,Cancer,2007,0
Australia,Senior,Chronic respiratory disease,2007,0
Australia,Senior,CVD,2007,0
Australia,Senior,Diabetes and CKD,2007,0
Australia,Senior,Digestive diseases,2007,0
Australia,Senior,Musculoskeletal disorders,2007,0
Australia,Senior,Neurological disorders,2007,0
Australia,Senior,Skin disease,2007,0
Australia,Senior,Substance use,2007,0
Austria,First,Cancer,2007,0
Austria,Senior,Cancer,2007,0
Belgium,All,All traits,2007,0.0126482213438735
Belgium,First,All traits,2007,0.0181818181818182
Belgium,First,Neurological disorders,2007,0
Belgium,Senior,Musculoskeletal disorders,2007,0
Belgium,Senior,Neurological disorders,2007,0
Benin,First,Chronic respiratory disease,2007,0
Benin,First,Skin disease,2007,0
Canada,All,All traits,2007,0.0574082767127165
Canada,All,Cancer,2007,0.0465116279069768
Canada,All,CVD,2007,0.0384615384615385
Canada,All,Diabetes and CKD,2007,0.0586709486166008
Canada,All,Digestive diseases,2007,0.105703113031222
Canada,All,Mental disorders,2007,0.0327380952380952
Canada,All,Neurological disorders,2007,0.0729166666666667
Canada,First,All traits,2007,0.0681818181818182
Canada,First,Cancer,2007,0.0833333333333333
Canada,First,Chronic respiratory disease,2007,0
Canada,First,CVD,2007,0.0625
Canada,First,Diabetes and CKD,2007,0.046875
Canada,First,Digestive diseases,2007,0.135416666666667
Canada,First,Musculoskeletal disorders,2007,0
Canada,First,Neurological disorders,2007,0
Canada,First,Skin disease,2007,0
Canada,Senior,All traits,2007,0.0454545454545455
Canada,Senior,Cancer,2007,0.0416666666666667
Canada,Senior,Chronic respiratory disease,2007,0
Canada,Senior,CVD,2007,0
Canada,Senior,Diabetes and CKD,2007,0.09375
Canada,Senior,Digestive diseases,2007,0.104166666666667
Canada,Senior,Musculoskeletal disorders,2007,0
Canada,Senior,Neurological disorders,2007,0
Canada,Senior,Skin disease,2007,0
Chile,First,Neurological disorders,2007,0
Chile,Senior,Chronic respiratory disease,2007,0
Chile,Senior,Neurological disorders,2007,0
China,All,All traits,2007,0.00621166126774882
China,All,Cancer,2007,0.00689542483660131
China,All,CVD,2007,0.020734126984127
China,All,Diabetes and CKD,2007,0.00555555555555556
China,All,Digestive diseases,2007,0.0037037037037037
China,First,All traits,2007,0.00121212121212121
China,First,Cancer,2007,0
China,First,Chronic respiratory disease,2007,0
China,First,CVD,2007,0.00833333333333333
China,First,Diabetes and CKD,2007,0
China,First,Digestive diseases,2007,0
China,First,Musculoskeletal disorders,2007,0
China,First,Neurological disorders,2007,0
China,First,Skin disease,2007,0
China,First,Substance use,2007,0
China,Senior,All traits,2007,0
China,Senior,Cancer,2007,0
China,Senior,Chronic respiratory disease,2007,0
China,Senior,CVD,2007,0
China,Senior,Diabetes and CKD,2007,0
China,Senior,Digestive diseases,2007,0
China,Senior,Musculoskeletal disorders,2007,0
China,Senior,Neurological disorders,2007,0
China,Senior,Skin disease,2007,0
China,Senior,Substance use,2007,0
Denmark,All,All traits,2007,0.00659016132066748
Denmark,All,Cancer,2007,0.0102287581699346
Denmark,All,CVD,2007,0.00961538461538462
Denmark,All,Diabetes and CKD,2007,0.00972222222222222
Denmark,All,Digestive diseases,2007,0.00648148148148148
Denmark,First,All traits,2007,0
Denmark,First,Cancer,2007,0
Denmark,First,Chronic respiratory disease,2007,0
Denmark,First,CVD,2007,0
Denmark,First,Diabetes and CKD,2007,0
Denmark,First,Digestive diseases,2007,0
Denmark,First,Musculoskeletal disorders,2007,0
Denmark,First,Neurological disorders,2007,0
Denmark,First,Substance use,2007,0
Denmark,Senior,All traits,2007,0
Denmark,Senior,Cancer,2007,0
Denmark,Senior,Chronic respiratory disease,2007,0
Denmark,Senior,CVD,2007,0
Denmark,Senior,Diabetes and CKD,2007,0
Denmark,Senior,Digestive diseases,2007,0
Denmark,Senior,Musculoskeletal disorders,2007,0
Denmark,Senior,Neurological disorders,2007,0
Egypt,First,Musculoskeletal disorders,2007,0
Egypt,Senior,Musculoskeletal disorders,2007,0
Finland,All,All traits,2007,0.0104241538512638
Finland,All,Cancer,2007,0.00483193277310924
Finland,All,Diabetes and CKD,2007,0.0278184968017058
Finland,All,Digestive diseases,2007,0.0185456645344705
Finland,First,All traits,2007,0.0181818181818182
Finland,First,Cancer,2007,0
Finland,First,Chronic respiratory disease,2007,0
Finland,First,CVD,2007,0
Finland,First,Diabetes and CKD,2007,0.0625
Finland,First,Digestive diseases,2007,0.0416666666666667
Finland,First,Neurological disorders,2007,0
Finland,First,Skin disease,2007,0
Finland,First,Substance use,2007,0
Finland,Senior,All traits,2007,0.00454545454545455
Finland,Senior,Cancer,2007,0
Finland,Senior,Chronic respiratory disease,2007,0
Finland,Senior,CVD,2007,0
Finland,Senior,Diabetes and CKD,2007,0.0104166666666667
Finland,Senior,Digestive diseases,2007,0.00694444444444444
Finland,Senior,Neurological disorders,2007,0
Finland,Senior,Skin disease,2007,0
Finland,Senior,Substance use,2007,0
France,All,All traits,2007,0.0188012248522514
France,All,Cancer,2007,0.024280720039954
France,All,Chronic respiratory disease,2007,0.0625
France,All,CVD,2007,0.000631313131313131
France,All,Diabetes and CKD,2007,0.0272028318903319
France,All,Digestive diseases,2007,0.0349451302592101
France,All,Mental disorders,2007,0.000505050505050505
France,First,All traits,2007,0.00454545454545455
France,First,Cancer,2007,0
France,First,Chronic respiratory disease,2007,0
France,First,CVD,2007,0
France,First,Diabetes and CKD,2007,0.015625
France,First,Digestive diseases,2007,0.0104166666666667
France,First,Neurological disorders,2007,0
France,First,Skin disease,2007,0
France,Senior,All traits,2007,0.00454545454545455
France,Senior,Cancer,2007,0
France,Senior,Chronic respiratory disease,2007,0
France,Senior,CVD,2007,0
France,Senior,Diabetes and CKD,2007,0.015625
France,Senior,Digestive diseases,2007,0.0104166666666667
France,Senior,Neurological disorders,2007,0
France,Senior,Skin disease,2007,0
Germany,All,All traits,2007,0.0652125370130485
Germany,All,Cancer,2007,0.0132947118241236
Germany,All,Chronic respiratory disease,2007,0.253787878787879
Germany,All,CVD,2007,0.0698529411764706
Germany,All,Diabetes and CKD,2007,0.00669642857142857
Germany,All,Digestive diseases,2007,0.0838778659611993
Germany,All,Mental disorders,2007,0.05
Germany,First,All traits,2007,0.0424242424242424
Germany,First,Cancer,2007,0
Germany,First,Chronic respiratory disease,2007,0.166666666666667
Germany,First,CVD,2007,0
Germany,First,Diabetes and CKD,2007,0
Germany,First,Digestive diseases,2007,0.0833333333333333
Germany,First,Musculoskeletal disorders,2007,0
Germany,First,Neurological disorders,2007,0
Germany,First,Skin disease,2007,0
Germany,First,Substance use,2007,0
Germany,Senior,All traits,2007,0.0636363636363636
Germany,Senior,Cancer,2007,0
Germany,Senior,Chronic respiratory disease,2007,0
Germany,Senior,CVD,2007,0.125
Germany,Senior,Diabetes and CKD,2007,0
Germany,Senior,Digestive diseases,2007,0.104166666666667
Germany,Senior,Musculoskeletal disorders,2007,0
Germany,Senior,Neurological disorders,2007,0
Germany,Senior,Skin disease,2007,0
Germany,Senior,Substance use,2007,0
Greece,First,Musculoskeletal disorders,2007,0
Greece,Senior,Musculoskeletal disorders,2007,0
Guinea,First,Skin disease,2007,0
Iceland,All,All traits,2007,0.0812639861321688
Iceland,All,Cancer,2007,0.138161302256752
Iceland,All,CVD,2007,0.167857142857143
Iceland,All,Diabetes and CKD,2007,0.0338753387533875
Iceland,All,Digestive diseases,2007,0.022583559168925
Iceland,All,Skin disease,2007,0.92
Iceland,First,All traits,2007,0.127272727272727
Iceland,First,Cancer,2007,0.25
Iceland,First,Chronic respiratory disease,2007,0
Iceland,First,CVD,2007,0.25
Iceland,First,Diabetes and CKD,2007,0.0625
Iceland,First,Digestive diseases,2007,0.0416666666666667
Iceland,First,Musculoskeletal disorders,2007,0
Iceland,First,Neurological disorders,2007,0
Iceland,First,Skin disease,2007,1
Iceland,First,Substance use,2007,0
Iceland,Senior,All traits,2007,0.127272727272727
Iceland,Senior,Cancer,2007,0.25
Iceland,Senior,Chronic respiratory disease,2007,0
Iceland,Senior,CVD,2007,0.25
Iceland,Senior,Diabetes and CKD,2007,0.0625
Iceland,Senior,Digestive diseases,2007,0.0416666666666667
Iceland,Senior,Musculoskeletal disorders,2007,0
Iceland,Senior,Skin disease,2007,1
Iceland,Senior,Substance use,2007,0
India,First,Cancer,2007,0
India,First,Diabetes and CKD,2007,0
India,First,Digestive diseases,2007,0
India,First,Musculoskeletal disorders,2007,0
India,Senior,All traits,2007,0
India,Senior,Cancer,2007,0
India,Senior,Diabetes and CKD,2007,0
India,Senior,Digestive diseases,2007,0
India,Senior,Musculoskeletal disorders,2007,0
Indonesia,First,Cancer,2007,0
Indonesia,Senior,Cancer,2007,0
Ireland,First,All traits,2007,0
Ireland,First,Cancer,2007,0
Ireland,First,Skin disease,2007,0
Ireland,Senior,Cancer,2007,0
Ireland,Senior,Digestive diseases,2007,0
Ireland,Senior,Skin disease,2007,0
Israel,First,Chronic respiratory disease,2007,0
Israel,First,Neurological disorders,2007,0
Israel,First,Skin disease,2007,0
Israel,Senior,All traits,2007,0.0181818181818182
Israel,Senior,Cancer,2007,0
Israel,Senior,Chronic respiratory disease,2007,0
Israel,Senior,Diabetes and CKD,2007,0.0625
Israel,Senior,Neurological disorders,2007,0
Israel,Senior,Skin disease,2007,0
Italy,All,All traits,2007,0.0116883116883117
Italy,All,Cancer,2007,0.0606060606060606
Italy,All,Chronic respiratory disease,2007,0.363636363636364
Italy,First,All traits,2007,0.0181818181818182
Italy,First,Cancer,2007,0.0833333333333333
Italy,First,Chronic respiratory disease,2007,0.5
Italy,First,CVD,2007,0
Italy,First,Diabetes and CKD,2007,0
Italy,First,Digestive diseases,2007,0
Italy,First,Musculoskeletal disorders,2007,0
Italy,First,Neurological disorders,2007,0
Italy,First,Substance use,2007,0
Italy,Senior,All traits,2007,0.0181818181818182
Italy,Senior,Cancer,2007,0.0833333333333333
Italy,Senior,Chronic respiratory disease,2007,0.5
Italy,Senior,CVD,2007,0
Italy,Senior,Diabetes and CKD,2007,0
Italy,Senior,Digestive diseases,2007,0
Italy,Senior,Neurological disorders,2007,0
Italy,Senior,Substance use,2007,0
Japan,All,All traits,2007,0.0363636363636364
Japan,All,CVD,2007,0.125
Japan,All,Diabetes and CKD,2007,0.0625
Japan,First,All traits,2007,0.0363636363636364
Japan,First,Cancer,2007,0
Japan,First,Chronic respiratory disease,2007,0
Japan,First,CVD,2007,0.125
Japan,First,Diabetes and CKD,2007,0.0625
Japan,First,Digestive diseases,2007,0
Japan,First,Musculoskeletal disorders,2007,0
Japan,First,Neurological disorders,2007,0
Japan,First,Skin disease,2007,0
Japan,First,Substance use,2007,0
Japan,Senior,All traits,2007,0.0363636363636364
Japan,Senior,Cancer,2007,0
Japan,Senior,Chronic respiratory disease,2007,0
Japan,Senior,CVD,2007,0.125
Japan,Senior,Diabetes and CKD,2007,0.0625
Japan,Senior,Digestive diseases,2007,0
Japan,Senior,Musculoskeletal disorders,2007,0
Japan,Senior,Neurological disorders,2007,0
Japan,Senior,Skin disease,2007,0
Japan,Senior,Substance use,2007,0
Latvia,First,Diabetes and CKD,2007,0
Latvia,Senior,Diabetes and CKD,2007,0
Lebanon,First,Diabetes and CKD,2007,0
Lebanon,Senior,Chronic respiratory disease,2007,0
Malaysia,First,Chronic respiratory disease,2007,0
Malaysia,First,Musculoskeletal disorders,2007,0
Mexico,First,Diabetes and CKD,2007,0
Mexico,First,Substance use,2007,0
Mexico,Senior,Diabetes and CKD,2007,0
Mexico,Senior,Substance use,2007,0
Netherlands,All,All traits,2007,0.01856706902581
Netherlands,All,Cancer,2007,0.0322733999260081
Netherlands,All,Diabetes and CKD,2007,0.00416666666666667
Netherlands,All,Digestive diseases,2007,0.0117063492063492
Netherlands,All,Mental disorders,2007,0.0308184143222506
Netherlands,All,Neurological disorders,2007,0.0182225063938619
Netherlands,All,Skin disease,2007,0.08
Netherlands,First,All traits,2007,0.00454545454545455
Netherlands,First,Cancer,2007,0
Netherlands,First,Chronic respiratory disease,2007,0
Netherlands,First,CVD,2007,0
Netherlands,First,Digestive diseases,2007,0.0104166666666667
Netherlands,First,Musculoskeletal disorders,2007,0
Netherlands,First,Neurological disorders,2007,0
Netherlands,First,Skin disease,2007,0
Netherlands,First,Substance use,2007,0
Netherlands,Senior,All traits,2007,0.0181818181818182
Netherlands,Senior,Cancer,2007,0
Netherlands,Senior,Chronic respiratory disease,2007,0
Netherlands,Senior,CVD,2007,0
Netherlands,Senior,Digestive diseases,2007,0.0416666666666667
Netherlands,Senior,Musculoskeletal disorders,2007,0
Netherlands,Senior,Neurological disorders,2007,0
Netherlands,Senior,Skin disease,2007,0
Netherlands,Senior,Substance use,2007,0
New Zealand,First,Musculoskeletal disorders,2007,0
Norway,All,All traits,2007,0.0051948051948052
Norway,All,Cancer,2007,0.0151515151515152
Norway,All,Chronic respiratory disease,2007,0.0909090909090909
Norway,First,All traits,2007,0
Norway,First,Chronic respiratory disease,2007,0
Norway,First,CVD,2007,0
Norway,First,Diabetes and CKD,2007,0
Norway,First,Digestive diseases,2007,0
Norway,First,Musculoskeletal disorders,2007,0
Norway,First,Neurological disorders,2007,0
Norway,First,Skin disease,2007,0
Norway,Senior,All traits,2007,0
Norway,Senior,Cancer,2007,0
Norway,Senior,Chronic respiratory disease,2007,0
Norway,Senior,CVD,2007,0
Norway,Senior,Diabetes and CKD,2007,0
Norway,Senior,Digestive diseases,2007,0
Norway,Senior,Musculoskeletal disorders,2007,0
Norway,Senior,Neurological disorders,2007,0
Norway,Senior,Skin disease,2007,0
Poland,All,Cancer,2007,0.00163398692810458
Poland,First,Neurological disorders,2007,0
Poland,Senior,Neurological disorders,2007,0
Portugal,First,CVD,2007,0
Portugal,First,Neurological disorders,2007,0
Portugal,First,Skin disease,2007,0
Portugal,Senior,CVD,2007,0
Portugal,Senior,Neurological disorders,2007,0
Portugal,Senior,Skin disease,2007,0
Qatar,First,Cancer,2007,0
Qatar,Senior,Cancer,2007,0
Qatar,Senior,Musculoskeletal disorders,2007,0
Republic of Korea,First,CVD,2007,0
Republic of Korea,Senior,CVD,2007,0
Saudi Arabia,First,Digestive diseases,2007,0
Singapore,All,All traits,2007,0.00349130247710369
Singapore,All,Cancer,2007,0.00163398692810458
Singapore,All,Musculoskeletal disorders,2007,0.0574712643678161
Singapore,First,All traits,2007,0.00454545454545455
Singapore,First,Cancer,2007,0
Singapore,First,Chronic respiratory disease,2007,0
Singapore,First,CVD,2007,0
Singapore,First,Diabetes and CKD,2007,0
Singapore,First,Digestive diseases,2007,0
Singapore,First,Neurological disorders,2007,0
Singapore,First,Skin disease,2007,0
Singapore,Senior,All traits,2007,0
Singapore,Senior,Cancer,2007,0
Singapore,Senior,Chronic respiratory disease,2007,0
Singapore,Senior,CVD,2007,0
Singapore,Senior,Diabetes and CKD,2007,0
Singapore,Senior,Digestive diseases,2007,0
Singapore,Senior,Neurological disorders,2007,0
Singapore,Senior,Skin disease,2007,0
South Africa,First,Musculoskeletal disorders,2007,0
South Africa,Senior,Musculoskeletal disorders,2007,0
South Korea,All,All traits,2007,0.00071301247771836
South Korea,All,Cancer,2007,0.00326797385620915
South Korea,First,All traits,2007,0
South Korea,First,Cancer,2007,0
South Korea,First,Chronic respiratory disease,2007,0
South Korea,First,CVD,2007,0
South Korea,First,Diabetes and CKD,2007,0
South Korea,First,Digestive diseases,2007,0
South Korea,First,Musculoskeletal disorders,2007,0
South Korea,First,Neurological disorders,2007,0
South Korea,First,Skin disease,2007,0
South Korea,First,Substance use,2007,0
South Korea,Senior,All traits,2007,0
South Korea,Senior,Cancer,2007,0
South Korea,Senior,Chronic respiratory disease,2007,0
South Korea,Senior,CVD,2007,0
South Korea,Senior,Diabetes and CKD,2007,0
South Korea,Senior,Digestive diseases,2007,0
South Korea,Senior,Musculoskeletal disorders,2007,0
South Korea,Senior,Neurological disorders,2007,0
South Korea,Senior,Skin disease,2007,0
South Korea,Senior,Substance use,2007,0
Spain,All,All traits,2007,0.00678436177215312
Spain,All,Cancer,2007,0.0291108644715748
Spain,All,CVD,2007,0.00297619047619048
Spain,First,All traits,2007,0.00181818181818182
Spain,First,Cancer,2007,0
Spain,First,Chronic respiratory disease,2007,0
Spain,First,CVD,2007,0.0125
Spain,First,Diabetes and CKD,2007,0
Spain,First,Digestive diseases,2007,0
Spain,First,Musculoskeletal disorders,2007,0
Spain,First,Neurological disorders,2007,0
Spain,First,Skin disease,2007,0
Spain,Senior,All traits,2007,0
Spain,Senior,Cancer,2007,0
Spain,Senior,Chronic respiratory disease,2007,0
